File Name,Pre-compression Entropy,Post-compression Entropy
data/33a9bb59-ce20-4ed9-89ac-7946b67d92a8.wav,5.410943,7.941929
data/340b913e-7e0f-4f23-a5ae-1af2ca3f3e1e.wav,4.402558,7.918855
data/341618b8-0266-4e52-82eb-600096c3023c.wav,5.337611,7.956563
data/34ae1187-4f68-4844-a157-a4693c16177d.wav,5.147692,7.941414
data/34b4f683-c0d2-4c56-8ddd-9b9a9f0a0d79.wav,5.036769,7.960745
data/35c16396-67a4-4fba-bde1-5f8722b12ddd.wav,4.507768,7.957588
data/35e87469-6cc3-433d-bd79-0edc1d4810a5.wav,5.846507,7.970752
data/3688abd7-707b-4379-8dec-ccc0b42159d6.wav,5.960170,7.950375
data/3745a64f-9be1-41fb-975d-9c7c2baa0947.wav,4.711707,7.952598
data/37866662-764a-45d4-b3cf-d88efa70e5b3.wav,5.168727,7.938135
data/379784b2-8501-48c1-ae9c-9e0262e125b0.wav,4.923767,7.951641
data/37a896d0-6e9c-49cc-9eac-c203ed068617.wav,5.664986,7.936896
data/37cee1c9-1b71-4e99-9315-5f38e99e1485.wav,5.141884,7.947189
data/38007d3b-bf50-4e44-98f8-3c1afbfaf868.wav,5.519522,7.949120
data/3830d316-1af4-4496-be1a-553298450516.wav,4.096172,7.939725
data/3839f1aa-ccfc-4bff-afc5-0ed674403a66.wav,5.619284,7.945324
data/383e5327-6c55-4265-a30e-059837163598.wav,4.954062,7.955597
data/3864cbab-5e6d-40b1-bb5e-c130319c36a5.wav,4.784552,7.947827
data/388f0aab-1b82-4efa-83fd-a1f9d7440f70.wav,5.033514,7.956678
data/38fd9c77-fb75-4cd5-8f1b-c4ff26b86b28.wav,5.297200,7.951707
data/3952aa1a-7eac-483b-8203-5f857bf9af10.wav,4.529314,7.950828
data/3953a230-d130-40e9-9dc4-068dda9bcef1.wav,4.107604,7.933131
data/3960fcd4-393c-47c3-8935-892c1b0da34d.wav,4.409987,7.952555
data/39bb8054-e70c-48df-8b97-bda6f2c891e6.wav,5.672021,7.953052
data/39c865d0-a49f-4805-a993-32deb82d6c88.wav,4.620004,7.949667
data/3a791210-ecd6-40bd-8db1-c4b2e45d8669.wav,6.126276,7.947436
data/3ac7abb5-1e3e-4852-bfc8-e3f2875b765d.wav,5.363598,7.954960
data/3b20945b-04aa-4983-847d-608f9ee78679.wav,7.321757,7.986222
data/3b4cb9f3-4bf6-4e2e-a51e-8dae198dba3f.wav,6.443979,7.948487
data/3b66780e-d642-4e53-9a6f-85864ffb1aca.wav,6.081303,7.956860
data/3c1ab183-52ac-42fd-8cd1-6b2456ee6280.wav,4.868869,7.955523
data/3ca76236-cd0a-4745-a7b7-9274a70168e7.wav,5.936176,7.940620
data/3d46b865-fbc1-4052-b9f1-68f55ce9d187.wav,4.600659,7.950914
data/3daf2025-0d64-4e57-b27c-0f922bbcea9c.wav,5.620955,7.939328
data/3e2b974a-3e13-48f3-b2f7-40a0c18c838f.wav,5.559905,7.957047
data/3eea00c0-8df7-41cd-9bfb-c27d42156021.wav,5.348835,7.960649
data/3f203ef0-d1e3-4a88-859e-40b37287000a.wav,5.206957,7.947466
data/3fd3d38c-15e5-4206-86f3-62fe49ef323d.wav,5.467731,7.954953
data/40113ce6-baad-42dc-ba65-2203f5a8bf60.wav,5.446928,7.955371
